frame,time_s,method,end_effector_error.root,end_effector_error.head,end_effector_error.left_hand,end_effector_error.right_hand,end_effector_error.left_foot,end_effector_error.right_foot,root_error.position,root_error.xy,root_error.height,root_error.orientation_rad,root_error.velocity,rotation_error.root_rad,velocity_error.root,velocity_error.head,velocity_error.left_hand,velocity_error.right_hand,velocity_error.left_foot,velocity_error.right_foot,contact.left_foot.mismatch,contact.right_foot.mismatch,sliding.left_foot.speed,sliding.left_foot.active,sliding.right_foot.speed,sliding.right_foot.active,penetration.left_foot.depth,penetration.right_foot.depth,joint_limit.max_violation,joint_limit.violated,smoothness.dof_velocity,smoothness.dof_acceleration,smoothness.dof_jerk,stability.base_height,stability.fallen,stability.torso_tilt_deg,effort.mean_abs_torque,effort.abs_power,tracking.dof_pos,tracking.dof_vel
0,0.0,Direct Mapping,0.0,0.17570468264341266,0.05403805054797718,0.08263773631829656,0.22543003479062537,0.1256396790661982,0.0,0.0,0.0,0.0,2.0583483939015967,0.0,2.0583483939015967,4.126378089787496,8.656558253093285,6.246317300204135,3.6895469459588903,4.588987199972403,0,1,1.530944699972209,1,4.555152184873348,0,0.0,0.0,0.15000000000000002,1,2.5626600719903583,3.283917394343223,92.924355685411,0.8283619769345155,0,0.0,5.117434663963041,200.69729139945835,,
1,0.03333333333333333,Direct Mapping,0.06861161313005322,0.17839314791346209,0.2839377026089374,0.19940200065760208,0.2798075917291238,0.14369145573392864,0.06861161313005322,0.06743089205375853,0.012673920196310862,0.0,1.4694724365701042,0.0,1.4694724365701042,3.122082659158948,1.4107212570524177,2.37953816584323,1.3002310611942536,1.4025395561060545,0,1,1.9133241258807843,0,1.3026963838094918,0,0.0,0.0,0.16333086433470145,1,2.4531961588455844,6.381395917190255,131.35327920187223,0.8156880567382047,0,0.0,4.896905204408358,180.63063491206117,,
2,0.06666666666666667,Direct Mapping,0.09796482910467362,0.11049537007167061,0.11887252292418314,0.080037804527965,0.2502284288284683,0.09310104748692619,0.09796482910467362,0.09454285771448621,0.025666238460014368,0.0,1.1669777680581297,0.0,1.1669777680581297,3.8735823175620094,2.885863540822999,3.2758346651733756,4.432590635307827,2.838022225979231,0,1,5.333475924956635,0,1.1059096978552125,0,0.0,0.0,0.17664691796935716,1,2.137233677511008,12.040802674468038,149.50013381462017,0.8026957384745012,0,0.0,4.235147944698244,129.2426320460397,,
3,0.1,Direct Mapping,0.062183781478715124,0.12679371630716757,0.2022442596123752,0.12572596807182956,0.11880409060880884,0.10393178488890036,0.062183781478715124,0.060242949854274704,0.015414592821347495,0.0,0.5236936537769614,0.0,0.5236936537769614,2.0956781807220652,4.775881165080735,3.6745946910174605,2.3596316961852026,4.041726715842341,0,0,2.3249523921069337,0,3.888041780800168,1,0.0,0.09409578274250371,0.18993336665873117,1,1.650475980547715,16.348071504831598,102.05230500093535,0.812947384113168,0,0.0,3.3099743316966834,73.20963154667749,,
4,0.13333333333333333,Direct Mapping,0.06824069114047163,0.03878127718997813,0.341222030157647,0.2191794642308555,0.2747122056155058,0.3227749746227862,0.06824069114047163,0.0615516564515346,0.02946498795861796,0.0,1.1355064088027198,0.0,1.1355064088027198,1.490574997674079,4.340189331641858,2.3912326848842254,1.2475457375054864,2.7859737412173784,1,1,1.1957939703536353,1,1.9003357966604526,0,0.004236381481623669,0.0,0.2031754490489256,1,1.0701039029971129,18.84428967453039,47.35335900061644,0.7988969889758976,0,0.0,2.155042528386604,33.78603496523348,,
5,0.16666666666666666,Direct Mapping,0.08052707559996698,0.08834500616432511,0.2631990646180866,0.07115472879749446,0.0470502066081543,0.2087695690728309,0.08052707559996698,0.07944893282425688,0.013133049065982894,0.0,0.49900874234549925,0.0,0.49900874234549925,3.7021100886194023,4.194864092571634,5.261646721293329,2.7510471031943884,3.921401821558593,0,0,1.7065820470129252,0,3.576793421764342,1,0.0,0.0,0.216358453077366,1,0.9670278993891409,19.298040325794368,55.09804915068866,0.8152289278685326,0,0.0,1.9609615917064618,27.953358426242822,,
6,0.2,Direct Mapping,0.05366998771626394,0.22591964115397523,0.06478579429217665,0.15955183377502638,0.22869800286832145,0.2652951439183261,0.05366998771626394,0.053088829611849284,0.00787678563298233,0.0,0.5685485643442119,0.0,0.5685485643442119,4.0547041763338365,4.287058672973169,2.7426143863807675,3.736819235179042,5.0598862092184005,0,0,3.7133014168941743,0,5.521817291387138,1,0.0,0.008787780034176991,0.22946773231802442,1,1.1790943344210245,17.73108915059679,91.63224477404229,0.8204851913015332,0,0.0,2.383631233411903,53.439309209995834,,
7,0.23333333333333334,Direct Mapping,0.06578820000119072,0.254984239103979,0.1779566408694849,0.1509055332821041,0.21296204218288725,0.2521025183698419,0.06578820000119072,0.06314327937059407,0.018466551646795892,0.0,0.7126041489294578,0.0,0.7126041489294578,5.9870815200581635,1.5974232248267688,4.062664110393962,4.025981091109509,4.948480555149077,0,1,4.165867554363041,0,5.438562470475167,0,0.0,0.0,0.24248872225371942,1,1.4806730568099067,14.41034409058746,128.90923909544986,0.8098954252877196,0,0.0,2.9540147126955887,94.0579688839813,,
8,0.26666666666666666,Direct Mapping,0.0844572771998523,0.26670522133440044,0.15102182364599773,0.2183744451569631,0.21111440322661473,0.18733716160087555,0.0844572771998523,0.07881959904852322,0.03033978374746149,0.0,0.7598392709394249,0.0,0.7598392709394249,1.4520460769449937,2.6722149327711557,1.7684921354692869,3.160161983319874,4.181111443374861,0,0,2.926563664900464,0,0.8311483549978115,1,0.0,0.11562850560456457,0.25540695645741407,1,1.7244824297822037,10.338765120161712,153.90258983397953,0.858701760681977,0,0.0,3.4476808285855873,128.25548059167372,,
9,0.3,Direct Mapping,0.0700535385080238,0.17477877178912668,0.194214978944286,0.12655984962372666,0.12507728193186401,0.17193583725719844,0.0700535385080238,0.06907224844843006,0.01168429509099822,0.0,0.46284925046209546,0.0,0.46284925046209546,3.9575810488673904,1.2724059251868807,3.9711241471484255,1.62432395899325,4.744928413503443,0,0,0.41030870750916615,0,1.3255132463393078,1,0.0,0.12442860955851119,0.2682080826645358,1,1.8592928333476613,9.776132750599864,162.05064503952096,0.8400462720255137,0,0.0,3.706099793340839,140.0389962713162,,
